feature,importance,std
IP_country_pca_45,6.5,2.692582403567252
IP_country_pca_8,6.4,2.3748684174075834
IP_country_pca_115,6.4,1.9595917942265424
IP_country_pca_144,6.4,2.3323807579381204
month_purchase_pca_1,6.4,2.374868417407584
IP_country_pca_195,6.4,3.2310988842807027
IP_country_pca_102,6.4,3.4698703145794947
IP_country_pca_159,6.3,2.3259406699226015
IP_country_pca_191,6.3,1.8466185312619388
IP_country_pca_152,6.3,3.7429934544425802
month_purchase_pca_2,6.3,3.3778691508109078
IP_country_pca_47,6.3,2.570992026436488
IP_country_pca_32,6.2,1.7776388834631178
IP_country_pca_161,6.2,2.4
IP_country_pca_72,6.2,3.1874754901018454
IP_country_pca_17,6.2,2.3151673805580453
IP_country_pca_44,6.2,1.5362291495737217
month_purchase_pca_10,6.1,2.5475478405713994
IP_country_pca_111,6.1,1.2206555615733703
IP_country_pca_105,6.1,2.4269322199023193
IP_country_pca_193,6.1,1.3000000000000003
IP_country_pca_11,6.1,2.6248809496813372
browser_pca_3,6.0,2.756809750418044
IP_country_pca_184,6.0,2.932575659723036
weekday_purchase_pca_63,6.0,3.0983866769659336
IP_country_pca_126,6.0,3.521363372331802
IP_country_pca_79,6.0,2.5298221281347035
IP_country_pca_177,6.0,2.3664319132398464
IP_country_pca_21,6.0,1.9493588689617927
IP_country_pca_176,5.9,2.77308492477241
IP_country_pca_85,5.9,2.3000000000000003
IP_country_pca_165,5.9,2.6248809496813377
IP_country_pca_183,5.9,2.3430749027719964
IP_country_pca_157,5.8,2.6
IP_country_pca_84,5.8,2.3151673805580453
IP_country_pca_150,5.8,3.0265491900843116
IP_country_pca_179,5.8,2.7129319932501073
IP_country_pca_185,5.8,2.4
IP_country_pca_143,5.8,3.4292856398964497
month_purchase_pca_14,5.7,1.4177446878757824
IP_country_pca_86,5.7,2.8653097563788803
IP_country_pca_134,5.7,3.132091952673165
IP_country_pca_30,5.6,2.009975124224178
IP_country_pca_123,5.6,2.3748684174075834
IP_country_pca_50,5.6,2.33238075793812
IP_country_pca_113,5.6,1.9595917942265424
IP_country_pca_129,5.5,2.0615528128088303
IP_country_pca_87,5.5,2.539685019840059
IP_country_pca_33,5.5,2.0615528128088303
IP_country_pca_173,5.5,2.1563858652847827
IP_country_pca_89,5.4,2.6532998322843198
